number,id,action,name,quadrant,spaces,worker_cube,card_action,r1_max_cost,r1_sheep,r1_tools,r2_max_cost,r2_sheep,r2_tools,r3_max_cost,r3_sheep,r3_tools,r4_max_cost,r4_sheep,r4_tools,r5_max_cost,r5_sheep,r5_tools,r6_max_cost,r6_sheep,r6_tools
1,01-1,1,Sheep Breeding,1,3,,,2,1,yes,1,0,yes,2,1,yes,1,3,yes,,,,3,3,
2,01-2,1,Sheep Breeding,1,3,yes,,,,,,,,2,1,,3,2,yes,,,,3,3,
3,01-3,1,Sheep Breeding,1,3,yes,,1,1,yes,2,1,yes,2,2,,2,3,,2,2,,3,3,yes
4,02-1,2,Sheep Shearing,1,3,,,1,1,yes,1,2,,3,2,yes,3,3,,3,2,yes,3,3,
5,02-2,2,Sheep Shearing,1,3,,,2,1,yes,,,,1,2,yes,2,1,yes,,,,3,3,
6,02-3,2,Sheep Shearing,1,3,,,,,,,,,1,2,yes,1,2,,,,,3,3,
7,03-1,3,Clay Delivery,1,3,,,,,,,,,,,,3,3,yes,3,3,yes,2,3,yes
8,03-2,3,Clay Delivery,1,3,,,,,,,,,,,,,,,2,2,,2,3,
9,03-3,3,Clay Delivery,1,3,,,,,,,,,,,,3,1,,2,2,,3,3,yes
10,04-1,4,Farming,1,3,,,1,1,,,,,,,,,,,3,3,yes,3,3,yes
11,04-2,4,Farming,1,3,,,,,,3,0,,3,1,,3,3,yes,3,2,,,,
12,04-3,4,Farming,1,3,,,,,,,,,2,0,,,,,3,2,,3,3,yes
13,05-1,5,Gateway Card,1,2,,yes,1,1,yes,1,1,yes,2,3,yes,2,3,yes,,,,,,
14,05-2,5,Gateway Card,1,2,,yes,2,0,,,,,2,0,yes,2,3,yes,,,,2,3,
15,06-1,6,Butchery,2,3,yes,,1,1,yes,,,,,,,3,3,,,,,3,3,
16,06-2,6,Butchery,2,3,,,1,0,yes,1,2,,,,,2,3,,3,2,yes,,,
17,06-3,6,Butchery,2,3,,,,,,,,,2,1,,3,2,,3,3,,,,
18,07-1,7,Nursery,2,3,,,1,1,,3,0,,3,2,,3,2,yes,3,2,,3,3,
19,07-2,7,Nursery,2,3,,,,,,3,0,,,,,3,3,,3,2,yes,3,3,yes
20,07-3,7,Nursery,2,3,yes,,1,0,,1,0,yes,2,2,,3,1,,3,3,,,,
21,08-1,8,Busy Weekend,2,3,,,1,1,,3,1,yes,3,0,,3,1,yes,3,3,,,,
22,08-2,8,Busy Weekend,2,3,,,1,0,yes,3,2,yes,2,2,yes,,,,,,,,,
23,08-3,8,Busy Weekend,2,3,,,1,0,,1,2,,,,,,,,2,2,yes,,,
24,09-1,9,Clearing,2,3,,,,,,2,1,yes,3,2,,3,2,yes,3,2,yes,3,3,yes
25,09-2,9,Clearing,2,3,,,,,,,,,2,2,yes,3,3,,3,3,yes,3,3,yes
26,09-3,9,Clearing,2,3,yes,,1,0,yes,3,1,yes,,,,1,3,yes,2,3,,3,3,yes
27,10-1,10,Farm Card,2,2,,yes,2,1,,2,0,yes,,,,2,2,,2,3,,2,2,
28,10-2,10,Farm Card,2,2,,yes,2,0,,2,1,,1,2,,2,1,yes,2,2,,2,3,yes
29,11-1,11,Small Trade,3,3,,,1,0,yes,1,0,,3,2,,,,,,,,3,2,yes
